Nr.;INVESTsymbol;Description;Instrument Subtype;Listedcurrency;Min.contractsize;Contractstep;MaximumContractSize;Min.Margin;Trading session, EET;yahoo ticker;in yahoo fin
172;VUKE;Vanguard FTSE 100 UCITS ETF;UK (LSE) ETF;GBP;1;1;10000;100%;10:01 - 18:30 Mon -Fri;VUKE.L;
173;VUSA;Vanguard S&P 500 UCITS ETF;UK (LSE) ETF;GBP;1;1;10000;100%;10:01 - 18:30 Mon -Fri;VUSA.L;
174;XDER;Xtrackers FTSE EPRA-NAREIT Develop Europe Real Estate UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XDER.L;
175;XESC;Xtrackers EURO STOXX 50 UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XESC.L;
176;XESX;Xtrackers EURO STOXX 50 UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XESX.L;
177;XMEM;Xtrackers MSCI Emerging Markets Index UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XMEM.L;
178;XMWD;Xtrackers MSCI World Index UCITS ETF;UK (LSE) ETF;USD;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XMWD.l;
179;XS2D;Xtrackers S&P 500 2x Leveraged Daily UCITS ETF;UK (LSE) ETF;USD;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XS2D.L;
180;XSPD;Xtrackers S&P 500 Inverse Daily UCITS ETF;UK (LSE) ETF;USD;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XSPD.L;
181;XSPU;Xtrackers S&P 500 UCITS ETF;UK (LSE) ETF;USD;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XSPU.L;
182;XSSX;Xtrackers - EURO STOXX 50 Short Daily UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XSSX.L;
183;XSX6;Xtrackers Stoxx Europe 600 UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XSX6.L;
184;XUKS;Xtrackers FTSE 100 Short Daily UCITS ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XUKS.L;
185;XUKX;Xtrackers FTSE 100 UCITS DR Income ETF;UK (LSE) ETF;GBX;1;1;10000;100%;10:01 - 18:30 Mon -Fri;XUKX.L;
